Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Unconquerable,"Main Area > Buck's Bar Dome > Cosumnes River Gorge > Placerville > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735215/unconquerable,2.8,-1,"Trad, TR",5.8,1,30,38.64891,-120.70634
"Valentine's Day","Moderate Mecca > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732245/valentines-day,2.7,-1,"Trad, TR",5.8+,1,50,36.14212,-115.42055
Grins,"Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748418/grins,2.7,-1,"Trad, TR",5.8,1,,40.0033,-105.3939
Mohawk,"Center Wall > Big Chief Area > Truckee River Canyon > Lake Tahoe > California",https://www.mountainproject.com/route/105735473/mohawk,2.8,-1,"Sport, TR",5.10b,1,40,39.2451,-120.20291
Coronary,"a1. The Uberfall - left > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105840581/coronary,2.8,-1,"Trad, TR","5.10 R",1,90,41.737,-74.18943
"Call it a Knight","Ed and Terry Wall > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105931238/call-it-a-knight,3.4,-1,"Sport, TR",5.10a,1,110,40.2645,-111.6232
Nightcap,"Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105750520/nightcap,2.7,-1,"Trad, TR",5.9,1,100,40.0033,-105.3939
"Grant's Crack","Swan Slab > Yosemite Falls Area > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105841126/grants-crack,2.7,-1,"Trad, TR",5.9,1,60,37.745,-119.5999
"The New Philanthropists","Spiney Ridge > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105763323/the-new-philanthropists,2.8,-1,"Sport, TR",5.11b/c,1,70,38.6307,-105.2178
"Drop Zone","Fall Wall > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105751000/drop-zone,2.9,-1,"Sport, TR",5.9+,1,,41.16219,-105.37497
"Piece of Cake","Minnesota Strip > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/105826312/piece-of-cake,2.7,-1,"Trad, TR",5.7,1,70,45.39843,-92.6535
"Climb and Punishment","Penitentiary Wall > Big Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105740102/climb-and-punishment,2.7,-1,"Trad, TR",5.9-,1,50,40.6221,-111.7634
"60 Seconds Over Soledad (AKA Dead Rat's Crack)","Cracked Wall > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737327/60-seconds-over-soledad-aka-dead-rats-crack,2.7,-1,"Trad, TR",5.7,1,70,35.30227,-120.69427
Bummer,"Sunnyside Bench > Yosemite Falls Area > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105879421/bummer,2.7,-1,"Trad, TR",5.10c,1,80,37.7507,-119.59446
"Farewell to Arms","Southeast Face > Cragmont Park > Berkeley > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735188/farewell-to-arms,2.7,-1,TR,5.10b,1,40,37.892,-122.2635
"Big Dihedral","Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado",https://www.mountainproject.com/route/105748178/big-dihedral,2.7,-1,"Trad, TR",5.8,1,50,39.76833,-105.2159
"Lost Face Overhangs I & II","05: Lost Face Area > 01: Prospect Point Rampart > West Bluff 05 - West Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105954271/lost-face-overhangs-i-ii,3.5,-1,"Trad, TR",5.8,1,100,43.42052,-89.73831
"Ace of Hearts","Moderate Mecca > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105889858/ace-of-hearts,2.7,-1,"Trad, TR","5.10d PG13",1,60,36.14212,-115.42055
