Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Shortnik,"Southern Satellite 2 > Southern Boulders > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306845/shortnik,1.0,-1,Boulder,V0,1,,39.11607,-106.68895
Barracks,"Aspen Boulder > Southern Boulders > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306856/barracks,-1.0,-1,Boulder,V2,1,,39.11615,-106.68875
Clompin',"Stompin' Boulder > Southern Boulders > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306965/clompin,1.0,-1,Boulder,V1,1,,39.11603,-106.6886
Chompin',"Stompin' Boulder > Southern Boulders > Campsite 5 Area > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/108306974/chompin,-1.0,-1,Boulder,V1,1,,39.11603,-106.6886
"River Chimney","River Boulder > Lincoln Creek > Independence Pass > Colorado",https://www.mountainproject.com/route/109391183/river-chimney,4.0,-1,Boulder,V0,1,25,39.11865,-106.69196
Leftsoteric,"Lesoterica Boulder > Goal Post Boulders > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/108381817/leftsoteric,1.3,-1,Boulder,V1,1,,39.11904,-106.70255
Terracle,"Lesoterica Boulder > Goal Post Boulders > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/108381837/terracle,1.5,-1,Boulder,V1,1,,39.11904,-106.70255
Rightsoteric,"Lesoterica Boulder > Goal Post Boulders > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/108381827/rightsoteric,2.0,-1,Boulder,V2,1,,39.11904,-106.70255
Traversoteric,"Lesoterica Boulder > Goal Post Boulders > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/114811384/traversoteric,2.0,-1,Boulder,V2,1,15,39.11904,-106.70255
"Hash Mark","Goal Post Boulder > Goal Post Boulders > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/108381863/hash-mark,1.7,-1,Boulder,V0,1,,39.11921,-106.70241
Yardage,"Goal Post Boulder > Goal Post Boulders > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/108381868/yardage,2.2,-1,Boulder,V0,1,,39.11921,-106.70241
"The Ref","Goal Post Boulder > Goal Post Boulders > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/108381876/the-ref,2.4,-1,Boulder,V0,1,,39.11921,-106.70241
Punt,"Goal Post Boulder > Goal Post Boulders > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/108381897/punt,2.4,-1,Boulder,V0,1,,39.11921,-106.70241
"Goal Line","Goal Post Boulder > Goal Post Boulders > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/108381888/goal-line,2.4,-1,Boulder,V1,1,,39.11921,-106.70241
"Turf Toe","Goal Post Boulder > Goal Post Boulders > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/108381903/turf-toe,2.3,-1,Boulder,V2,1,,39.11921,-106.70241
"Laces Out","Goal Post Boulder > Goal Post Boulders > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/108381883/laces-out,2.3,-1,Boulder,V3,1,,39.11921,-106.70241
"1 V0","Patrol Boulder > Difficult Campground > Independence Pass > Colorado",https://www.mountainproject.com/route/108143806/1-v0,1.0,-1,Boulder,V0,1,,39.12042,-106.70159
