Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Werk Supp","The Bastille - N Face > The Bastille > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105749890/werk-supp,3.3,-1,Trad,5.9,2,200,39.9307,-105.283
"Strictly From Nowhere","d. Strictly - Shockley's > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799704/strictly-from-nowhere,3.4,-1,Trad,5.7,2,170,41.73895,-74.18478
Theoretically,"Practice Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106252233/theoretically,3.4,-1,"Trad, TR",5.10c,1,60,45.55519,-111.06181
"Nova Express","East Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105885835/nova-express,3.4,-1,Trad,5.9+,1,,39.31625,-120.3185
"Blood Clot","(3) Catwalk Cliff > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105809717/blood-clot,3.4,-1,Trad,5.10b,1,90,44.36733,-121.13065
"Direct Northwest Face","Northwest Face > Lembert Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105973663/direct-northwest-face,3.4,-1,Trad,5.10b/c,3,400,37.88103,-119.35106
"Neat and Cool","Neat and Cool > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105910806/neat-and-cool,3.4,-1,Trad,5.10a,1,60,49.706,-123.1403
Wonderland,"Pixie Corner > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106173589/wonderland,3.4,-1,Trad,5.9,1,125,49.7067,-123.1398
"Bee Line","Stronghold Dome > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738266/bee-line,3.4,-1,Trad,"5.9 R",3,280,31.93005,-109.97094
"Turner's Flake","Thin Air Face > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/105881452/turners-flake,3.4,-1,Trad,5.8,1,120,44.06342,-71.16578
